message;severity;node;stamp;topics;location
"실패한 박스 위치: x=0.48564226463601684, y=-0.224001872487452";"2";"/robot_controller_29652_1745972723477";"2490.319000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:406"
"성공한 박스 위치: x=0.5310677667523896, y=-0.20523350482436403";"2";"/robot_controller_29652_1745972723477";"2467.584000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:404"
"성공한 박스 위치: x=0.5596243632784667, y=-0.17432982679553247";"2";"/robot_controller_29652_1745972723477";"2445.049000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:404"
"성공한 박스 위치: x=0.5557883733090134, y=-0.17134747887978719";"2";"/robot_controller_29652_1745972723477";"2422.484000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:404"
"실패한 박스 위치: x=0.5761647758086034, y=-0.19078066635886676";"2";"/robot_controller_29652_1745972723477";"2399.892000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:406"
"성공한 박스 위치: x=0.5387804416185576, y=-0.20389124887374985";"2";"/robot_controller_29652_1745972723477";"2377.378000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:404"
"성공한 박스 위치: x=0.48333678684103265, y=-0.20335469047289717";"2";"/robot_controller_29652_1745972723477";"2354.845000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:404"
"성공한 박스 위치: x=0.5424640812031689, y=-0.18552430149478316";"2";"/robot_controller_29652_1745972723477";"2332.309000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:404"
"성공한 박스 위치: x=0.5439094214350104, y=-0.17349448324540406";"2";"/robot_controller_29652_1745972723477";"2309.744000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:404"
"성공한 박스 위치: x=0.533626814862654, y=-0.18808270892125661";"2";"/robot_controller_29652_1745972723477";"2287.229000000";"/clock,/franka_gripper/grasp/goal,/franka_gripper/joint_states,/franka_gripper/move/goal,/gripper_camera/image_raw,/joint_states,/multisense_sl/camera/left/image_raw,/multisense_sl/camera/right/image_raw,/panda_simulator/motion_controller/arm/joint_commands,/rosout";"evaluate.py:<module>:404"
